word,id,subject,property,object,question,sparql,Unnamed: 7,Unnamed: 8,Unnamed: 9
active,388,,activeYearsEndDate,-,SELECT DISTINCT ?d WHERE { res:Boris_Becker dbo:activeYearsEndDate ?d },When did Boris Becker end his active career?,,,
alive,235,,deathDate,-,ASK WHERE { OPTIONAL { res:Frank_Herbert dbo:deathDate ?date } FILTER ( ! bound(?date) ) },Is Frank Herbert still alive?,,,
alma,194,,almaMater,-,SELECT ?Almamater WHERE { dbr:Angela_Merkel dbo:almaMater ?Almamater },What is the alma mater of the chancellor of Germany Angela Merkel?,,,
ancient,257,,-,-,SELECT DISTINCT ?uri WHERE { ?uri dbo:currency res:Cocoa_bean },In which ancient empire could you pay with cocoa beans?,,,
artistic,355,,movement,,SELECT DISTINCT ?uri WHERE { res:The_Three_Dancers dbo:author ?person . ?person dbo:movement ?uri },To which artistic movement did the painter of The Three Dancers belong?,,,
australian,71,,country,Australia,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/locationCountry> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } },Give me all Australian nonprofit organizations.,,,
  ,101,,hometown,Australia,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> , <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } },Give me all Australian metalcore bands.,,
bad,338,,numberOfEpisodes,-,ASK WHERE { res:Breaking_Bad dbo:numberOfEpisodes ?x . res:Game_of_Thrones dbo:numberOfEpisodes ?y FILTER ( ?y > ?x ) },Does Breaking Bad have more episodes than Game of Thrones?,,,
big,278,,areaTotal,-,SELECT ?tarea WHERE { dbr:North_Rhine-Westphalia dbo:areaTotal ?tarea },how big is the total area of North Rhine- Westphalia?,,,
bigger,346,,areaTotal,-,ASK WHERE { res:Lake_Baikal dbo:areaTotal ?a1 . res:Great_Bear_Lake dbo:areaTotal ?a2 FILTER ( ?a1 > ?a2 ) },Is Lake Baikal bigger than the Great Bear Lake?,,,
biggest,207,,seatingCapacity,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Stadium , dbo:location res:Spain , dbo:seatingCapacity ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,What is the biggest stadium in Spain?,
canadian,394,,country,Canada,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:RecordLabel , dbo:genre res:Grunge , dbo:country res:Canada },Give me all Canadian Grunge record labels.,
comic,19,,-,-,SELECT DISTINCT ?uri WHERE { res:Captain_America dbo:creator ?uri },Who created the comic Captain America?,,,
common,344,,languageFamily,-,ASK WHERE { dbr:Urdu dbo:languageFamily ?uri . dbr:Persian_language dbo:languageFamily ?uri },Do Urdu and Persian have a common root?,,,
cuban,198,Cuban_Missile_Crisis,date,-,ASK WHERE { res:Cuban_Missile_Crisis dbo:date ?x . res:Bay_of_Pigs_Invasion dbo:date ?y FILTER ( ?x < ?y ) },Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,,,
current,202,,,-,SELECT ?leader WHERE { <http://dbpedia.org/resource/Federal_Ministry_of_Finance_(Germany)> dbo:leader ?leader },Who is the current federal minister of finance in Germany?,,,
danish,11,,country,Denmark,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film , dbo:country res:Denmark },Give me all Danish films.,,
  ,51,,country,Denmark,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> },Give me all Danish movies.,,
deep,28,Lake_Placid_(Texas),maximumDepth,-,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Lake_Placid_(Texas)> dbo:maximumDepth ?n },How deep is Lake Placid?,,,
densty,288,Germany,populationDensityRank,-,SELECT ?rank WHERE { dbr:Germany dbp:populationDensityRank ?rank },how much is the population densty rank of germany?,,,
